date,,,date,price,,,,
Apr,1996,Apr 1996,1996-04,86,,4,,#VALUE!
May,1996,May 1996,1996-05,87,,5,,
Jun,1996,Jun 1996,1996-06,87,,6,,
Jul,1996,Jul 1996,1996-07,88,,7,,
Aug,1996,Aug 1996,1996-08,88,,8,,
Sep,1996,Sep 1996,1996-09,89,,9,,
Oct,1996,Oct 1996,1996-10,90,,10,,
Nov,1996,Nov 1996,1996-11,90,,11,,
Dec,1996,Dec 1996,1996-12,91,,12,,
Jan,1997,Jan 1997,1997-01,92,,1,,
Feb,1997,Feb 1997,1997-02,93,,,,
Mar,1997,Mar 1997,1997-03,94,,,,
Apr,1997,Apr 1997,1997-04,95,,,,
May,1997,May 1997,1997-05,96,,,,
Jun,1997,Jun 1997,1997-06,97,,,,
Jul,1997,Jul 1997,1997-07,97,,,,
Aug,1997,Aug 1997,1997-08,98,,,,
Sep,1997,Sep 1997,1997-09,98,,,,
Oct,1997,Oct 1997,1997-10,99,,,,
Nov,1997,Nov 1997,1997-11,100,,,,
Dec,1997,Dec 1997,1997-12,101,,,,
Jan,1998,Jan 1998,1998-01,102,,,,
Feb,1998,Feb 1998,1998-02,103,,,,
Mar,1998,Mar 1998,1998-03,104,,,,
Apr,1998,Apr 1998,1998-04,105,,,,
May,1998,May 1998,1998-05,106,,,,
Jun,1998,Jun 1998,1998-06,106,,,,
Jul,1998,Jul 1998,1998-07,108,,,,
Aug,1998,Aug 1998,1998-08,109,,,,
Sep,1998,Sep 1998,1998-09,110,,,,
Oct,1998,Oct 1998,1998-10,112,,,,
Nov,1998,Nov 1998,1998-11,113,,,,
Dec,1998,Dec 1998,1998-12,114,,,,
Jan,1999,Jan 1999,1999-01,116,,,,
Feb,1999,Feb 1999,1999-02,117,,,,
Mar,1999,Mar 1999,1999-03,118,,,,
Apr,1999,Apr 1999,1999-04,119,,,,
May,1999,May 1999,1999-05,121,,,,
Jun,1999,Jun 1999,1999-06,122,,,,
Jul,1999,Jul 1999,1999-07,124,,,,
Aug,1999,Aug 1999,1999-08,125,,,,
Sep,1999,Sep 1999,1999-09,127,,,,
Oct,1999,Oct 1999,1999-10,129,,,,
Nov,1999,Nov 1999,1999-11,130,,,,
Dec,1999,Dec 1999,1999-12,132,,,,
Jan,2000,Jan 2000,2000-01,135,,,,
Feb,2000,Feb 2000,2000-02,137,,,,
Mar,2000,Mar 2000,2000-03,140,,,,
Apr,2000,Apr 2000,2000-04,142,,,,
May,2000,May 2000,2000-05,144,,,,
Jun,2000,Jun 2000,2000-06,146,,,,
Jul,2000,Jul 2000,2000-07,149,,,,
Aug,2000,Aug 2000,2000-08,150,,,,
Sep,2000,Sep 2000,2000-09,152,,,,
Oct,2000,Oct 2000,2000-10,154,,,,
Nov,2000,Nov 2000,2000-11,156,,,,
Dec,2000,Dec 2000,2000-12,158,,,,
Jan,2001,Jan 2001,2001-01,159,,,,
Feb,2001,Feb 2001,2001-02,161,,,,
Mar,2001,Mar 2001,2001-03,163,,,,
Apr,2001,Apr 2001,2001-04,164,,,,
May,2001,May 2001,2001-05,165,,,,
Jun,2001,Jun 2001,2001-06,167,,,,
Jul,2001,Jul 2001,2001-07,167,,,,
Aug,2001,Aug 2001,2001-08,168,,,,
Sep,2001,Sep 2001,2001-09,169,,,,
Oct,2001,Oct 2001,2001-10,170,,,,
Nov,2001,Nov 2001,2001-11,171,,,,
Dec,2001,Dec 2001,2001-12,172,,,,
Jan,2002,Jan 2002,2002-01,173,,,,
Feb,2002,Feb 2002,2002-02,173,,,,
Mar,2002,Mar 2002,2002-03,173,,,,
Apr,2002,Apr 2002,2002-04,174,,,,
May,2002,May 2002,2002-05,174,,,,
Jun,2002,Jun 2002,2002-06,175,,,,
Jul,2002,Jul 2002,2002-07,175,,,,
Aug,2002,Aug 2002,2002-08,176,,,,
Sep,2002,Sep 2002,2002-09,176,,,,
Oct,2002,Oct 2002,2002-10,177,,,,
Nov,2002,Nov 2002,2002-11,177,,,,
Dec,2002,Dec 2002,2002-12,177,,,,
Jan,2003,Jan 2003,2003-01,178,,,,
Feb,2003,Feb 2003,2003-02,178,,,,
Mar,2003,Mar 2003,2003-03,178,,,,
Apr,2003,Apr 2003,2003-04,178,,,,
May,2003,May 2003,2003-05,178,,,,
Jun,2003,Jun 2003,2003-06,178,,,,
Jul,2003,Jul 2003,2003-07,179,,,,
Aug,2003,Aug 2003,2003-08,179,,,,
Sep,2003,Sep 2003,2003-09,179,,,,
Oct,2003,Oct 2003,2003-10,179,,,,
Nov,2003,Nov 2003,2003-11,179,,,,
Dec,2003,Dec 2003,2003-12,179,,,,
Jan,2004,Jan 2004,2004-01,180,,,,
Feb,2004,Feb 2004,2004-02,180,,,,
Mar,2004,Mar 2004,2004-03,181,,,,
Apr,2004,Apr 2004,2004-04,181,,,,
May,2004,May 2004,2004-05,182,,,,
Jun,2004,Jun 2004,2004-06,182,,,,
Jul,2004,Jul 2004,2004-07,182,,,,
Aug,2004,Aug 2004,2004-08,182,,,,
Sep,2004,Sep 2004,2004-09,183,,,,
Oct,2004,Oct 2004,2004-10,183,,,,
Nov,2004,Nov 2004,2004-11,184,,,,
Dec,2004,Dec 2004,2004-12,185,,,,
Jan,2005,Jan 2005,2005-01,186,,,,
Feb,2005,Feb 2005,2005-02,187,,,,
Mar,2005,Mar 2005,2005-03,188,,,,
Apr,2005,Apr 2005,2005-04,188,,,,
May,2005,May 2005,2005-05,188,,,,
Jun,2005,Jun 2005,2005-06,189,,,,
Jul,2005,Jul 2005,2005-07,189,,,,
Aug,2005,Aug 2005,2005-08,190,,,,
Sep,2005,Sep 2005,2005-09,190,,,,
Oct,2005,Oct 2005,2005-10,190,,,,
Nov,2005,Nov 2005,2005-11,191,,,,
Dec,2005,Dec 2005,2005-12,192,,,,
Jan,2006,Jan 2006,2006-01,192,,,,
Feb,2006,Feb 2006,2006-02,192,,,,
Mar,2006,Mar 2006,2006-03,193,,,,
Apr,2006,Apr 2006,2006-04,193,,,,
May,2006,May 2006,2006-05,194,,,,
Jun,2006,Jun 2006,2006-06,194,,,,
Jul,2006,Jul 2006,2006-07,194,,,,
Aug,2006,Aug 2006,2006-08,195,,,,
Sep,2006,Sep 2006,2006-09,195,,,,
Oct,2006,Oct 2006,2006-10,195,,,,
Nov,2006,Nov 2006,2006-11,194,,,,
Dec,2006,Dec 2006,2006-12,194,,,,
Jan,2007,Jan 2007,2007-01,194,,,,
Feb,2007,Feb 2007,2007-02,194,,,,
Mar,2007,Mar 2007,2007-03,194,,,,
Apr,2007,Apr 2007,2007-04,194,,,,
May,2007,May 2007,2007-05,194,,,,
Jun,2007,Jun 2007,2007-06,195,,,,
Jul,2007,Jul 2007,2007-07,195,,,,
Aug,2007,Aug 2007,2007-08,194,,,,
Sep,2007,Sep 2007,2007-09,193,,,,
Oct,2007,Oct 2007,2007-10,192,,,,
Nov,2007,Nov 2007,2007-11,191,,,,
Dec,2007,Dec 2007,2007-12,189,,,,
Jan,2008,Jan 2008,2008-01,188,,,,
Feb,2008,Feb 2008,2008-02,187,,,,
Mar,2008,Mar 2008,2008-03,186,,,,
Apr,2008,Apr 2008,2008-04,185,,,,
May,2008,May 2008,2008-05,184,,,,
Jun,2008,Jun 2008,2008-06,183,,,,
Jul,2008,Jul 2008,2008-07,182,,,,
Aug,2008,Aug 2008,2008-08,181,,,,
Sep,2008,Sep 2008,2008-09,181,,,,
Oct,2008,Oct 2008,2008-10,181,,,,
Nov,2008,Nov 2008,2008-11,181,,,,
Dec,2008,Dec 2008,2008-12,181,,,,
Jan,2009,Jan 2009,2009-01,181,,,,
Feb,2009,Feb 2009,2009-02,181,,,,
Mar,2009,Mar 2009,2009-03,180,,,,
Apr,2009,Apr 2009,2009-04,180,,,,
May,2009,May 2009,2009-05,179,,,,
Jun,2009,Jun 2009,2009-06,178,,,,
Jul,2009,Jul 2009,2009-07,178,,,,
Aug,2009,Aug 2009,2009-08,178,,,,
Sep,2009,Sep 2009,2009-09,178,,,,
Oct,2009,Oct 2009,2009-10,178,,,,
Nov,2009,Nov 2009,2009-11,178,,,,
Dec,2009,Dec 2009,2009-12,178,,,,
Jan,2010,Jan 2010,2010-01,179,,,,
Feb,2010,Feb 2010,2010-02,179,,,,
Mar,2010,Mar 2010,2010-03,178,,,,
Apr,2010,Apr 2010,2010-04,178,,,,
May,2010,May 2010,2010-05,177,,,,
Jun,2010,Jun 2010,2010-06,177,,,,
Jul,2010,Jul 2010,2010-07,176,,,,
Aug,2010,Aug 2010,2010-08,176,,,,
Sep,2010,Sep 2010,2010-09,175,,,,
Oct,2010,Oct 2010,2010-10,174,,,,
Nov,2010,Nov 2010,2010-11,174,,,,
Dec,2010,Dec 2010,2010-12,174,,,,
Jan,2011,Jan 2011,2011-01,174,,,,
Feb,2011,Feb 2011,2011-02,173,,,,
Mar,2011,Mar 2011,2011-03,172,,,,
Apr,2011,Apr 2011,2011-04,172,,,,
May,2011,May 2011,2011-05,172,,,,
Jun,2011,Jun 2011,2011-06,171,,,,
Jul,2011,Jul 2011,2011-07,171,,,,
Aug,2011,Aug 2011,2011-08,170,,,,
Sep,2011,Sep 2011,2011-09,170,,,,
Oct,2011,Oct 2011,2011-10,170,,,,
Nov,2011,Nov 2011,2011-11,171,,,,
Dec,2011,Dec 2011,2011-12,171,,,,
Jan,2012,Jan 2012,2012-01,171,,,,
Feb,2012,Feb 2012,2012-02,172,,,,
Mar,2012,Mar 2012,2012-03,174,,,,
Apr,2012,Apr 2012,2012-04,175,,,,
May,2012,May 2012,2012-05,176,,,,
Jun,2012,Jun 2012,2012-06,178,,,,
Jul,2012,Jul 2012,2012-07,179,,,,
Aug,2012,Aug 2012,2012-08,181,,,,
Sep,2012,Sep 2012,2012-09,182,,,,
Oct,2012,Oct 2012,2012-10,184,,,,
Nov,2012,Nov 2012,2012-11,185,,,,
Dec,2012,Dec 2012,2012-12,186,,,,
Jan,2013,Jan 2013,2013-01,188,,,,
Feb,2013,Feb 2013,2013-02,190,,,,
Mar,2013,Mar 2013,2013-03,192,,,,
Apr,2013,Apr 2013,2013-04,193,,,,
May,2013,May 2013,2013-05,195,,,,
Jun,2013,Jun 2013,2013-06,198,,,,
Jul,2013,Jul 2013,2013-07,201,,,,
Aug,2013,Aug 2013,2013-08,203,,,,
Sep,2013,Sep 2013,2013-09,205,,,,
Oct,2013,Oct 2013,2013-10,206,,,,
Nov,2013,Nov 2013,2013-11,207,,,,
Dec,2013,Dec 2013,2013-12,208,,,,
Jan,2014,Jan 2014,2014-01,209,,,,
Feb,2014,Feb 2014,2014-02,210,,,,
Mar,2014,Mar 2014,2014-03,211,,,,
Apr,2014,Apr 2014,2014-04,213,,,,
May,2014,May 2014,2014-05,215,,,,
Jun,2014,Jun 2014,2014-06,217,,,,
Jul,2014,Jul 2014,2014-07,219,,,,
Aug,2014,Aug 2014,2014-08,222,,,,
Sep,2014,Sep 2014,2014-09,225,,,,
Oct,2014,Oct 2014,2014-10,228,,,,
Nov,2014,Nov 2014,2014-11,231,,,,
Dec,2014,Dec 2014,2014-12,234,,,,
Jan,2015,Jan 2015,2015-01,237,,,,
Feb,2015,Feb 2015,2015-02,239,,,,
Mar,2015,Mar 2015,2015-03,243,,,,
Apr,2015,Apr 2015,2015-04,247,,,,
May,2015,May 2015,2015-05,251,,,,
Jun,2015,Jun 2015,2015-06,255,,,,
Jul,2015,Jul 2015,2015-07,259,,,,
Aug,2015,Aug 2015,2015-08,263,,,,
Sep,2015,Sep 2015,2015-09,266,,,,
Oct,2015,Oct 2015,2015-10,269,,,,
Nov,2015,Nov 2015,2015-11,271,,,,
Dec,2015,Dec 2015,2015-12,274,,,,
Jan,2016,Jan 2016,2016-01,276,,,,
Feb,2016,Feb 2016,2016-02,278,,,,
Mar,2016,Mar 2016,2016-03,281,,,,
Apr,2016,Apr 2016,2016-04,284,,,,
May,2016,May 2016,2016-05,287,,,,
Jun,2016,Jun 2016,2016-06,290,,,,
Jul,2016,Jul 2016,2016-07,294,,,,
Aug,2016,Aug 2016,2016-08,297,,,,
Sep,2016,Sep 2016,2016-09,300,,,,
Oct,2016,Oct 2016,2016-10,304,,,,
Nov,2016,Nov 2016,2016-11,306,,,,
Dec,2016,Dec 2016,2016-12,308,,,,
Jan,2017,Jan 2017,2017-01,311,,,,
Feb,2017,Feb 2017,2017-02,315,,,,
Mar,2017,Mar 2017,2017-03,319,,,,
Apr,2017,Apr 2017,2017-04,321,,,,
May,2017,May 2017,2017-05,323,,,,
Jun,2017,Jun 2017,2017-06,325,,,,
Jul,2017,Jul 2017,2017-07,326,,,,
Aug,2017,Aug 2017,2017-08,327,,,,
Sep,2017,Sep 2017,2017-09,328,,,,
Oct,2017,Oct 2017,2017-10,329,,,,
Nov,2017,Nov 2017,2017-11,330,,,,
Dec,2017,Dec 2017,2017-12,333,,,,
Jan,2018,Jan 2018,2018-01,337,,,,
Feb,2018,Feb 2018,2018-02,343,,,,
Mar,2018,Mar 2018,2018-03,347,,,,
Apr,2018,Apr 2018,2018-04,349,,,,
May,2018,May 2018,2018-05,350,,,,
Jun,2018,Jun 2018,2018-06,351,,,,
Jul,2018,Jul 2018,2018-07,351,,,,
Aug,2018,Aug 2018,2018-08,352,,,,
Sep,2018,Sep 2018,2018-09,354,,,,
Oct,2018,Oct 2018,2018-10,357,,,,
Nov,2018,Nov 2018,2018-11,360,,,,
Dec,2018,Dec 2018,2018-12,361,,,,
Jan,2019,Jan 2019,2019-01,362,,,,
Feb,2019,Feb 2019,2019-02,363,,,,
Mar,2019,Mar 2019,2019-03,363,,,,
,,,,,,3,,
